attraction_name,attraction_url,region
Cairo Citadel (Citadel of Saladin),https://www.viator.com/Cairo-attractions/Cairo-Citadel-Citadel-of-Saladin/d782-a1510,Middle_East_Africa
Wahiba Sands (Sharqiyah Sands),https://www.viator.com/Muscat-attractions/Wahiba-Sands/d4389-a15193,Middle_East_Africa
Abu Dhabi Cruise Terminal,https://www.viator.com/Abu-Dhabi-attractions/Abu-Dhabi-Cruise-Port/d4474-a12570,Middle_East_Africa
Kirstenbosch National Botanical Garden,https://www.viator.com/Cape-Town-attractions/Kirstenbosch-National-Botanical-Garden/d318-a2016,Middle_East_Africa
Katara Cultural Village,https://www.viator.com/Doha-attractions/Katara-Cultural-Village/d4453-a24554,Middle_East_Africa
Dubai Frame,https://www.viator.com/Dubai-attractions/Dubai-Frame/d828-a99866,Middle_East_Africa
Casela World of Adventures,https://www.viator.com/Mauritius-attractions/Casela-World-of-Adventures/d4463-a25528,Middle_East_Africa
Etihad Towers,https://www.viator.com/Abu-Dhabi-attractions/Etihad-Towers/d4474-a101305,Middle_East_Africa
Mt. Sinai,https://www.viator.com/Sharm-el-Sheikh-attractions/Mt-Sinai/d827-a1872,Middle_East_Africa
Blyde River Canyon Nature Reserve,https://www.viator.com/Kruger-National-Park-attractions/Blyde-River-Canyon-Nature-Reserve/d776-a12460,Middle_East_Africa
Hurghada Marina,https://www.viator.com/Hurghada-attractions/Hurghada-Marina/d800-a24506,Middle_East_Africa
"Atlantis, The Palm",https://www.viator.com/Dubai-attractions/Atlantis-The-Palm/d828-a11306,Middle_East_Africa
Cairo Tower (Burj al-Qahira),https://www.viator.com/Cairo-attractions/Cairo-Tower-Burj-al-Qahira/d782-a24508,Middle_East_Africa
Souq Waqif,https://www.viator.com/Doha-attractions/Souq-Waqif/d4453-a24558,Middle_East_Africa
Lion's Head,https://www.viator.com/Cape-Town-attractions/Lions-Head/d318-a12731,Middle_East_Africa
Mandela House,https://www.viator.com/Johannesburg-attractions/Mandela-House/d314-a1656,Middle_East_Africa
Apartheid Museum,https://www.viator.com/Johannesburg-attractions/Apartheid-Museum/d314-a1650,Middle_East_Africa
Ski Dubai,https://www.viator.com/Dubai-attractions/Ski-Dubai/d828-a15452,Middle_East_Africa
Dubai Cruise Terminal,https://www.viator.com/Dubai-attractions/Dubai-Cruise-Port/d828-a12571,Middle_East_Africa
