title,rating,review_count,attraction_name,region,tour_count
Table Mountain Tour including Pick Up & Drop Off from Cape Town,4.2,17.0,Table Mountain and Cableway,Middle_East_Africa,142
Table Mountain Cable Car Experience With Pre Booked Tickets,4.7,27.0,Table Mountain and Cableway,Middle_East_Africa,142
"Table Mountain, Cape of good hope Full Day Shared Group Tour",4.9,33.0,Table Mountain and Cableway,Middle_East_Africa,142
"Table Mountain, Boulder's Penguins & Cape Point Private Tour from Cape Town",4.9,336.0,Table Mountain and Cableway,Middle_East_Africa,142
"Table Mountain, Penguins & Cape of Good Hope Small Group Tour",4.7,12.0,Table Mountain and Cableway,Middle_East_Africa,142
African Wonder of Nature Table Mountain Hike.,5.0,8.0,Table Mountain and Cableway,Middle_East_Africa,142
Shared Half-Day Cape Town City Tour,4.9,9.0,Table Mountain and Cableway,Middle_East_Africa,142
Table Mountain Cable Way Tour in Cape Town,5.0,3.0,Table Mountain and Cableway,Middle_East_Africa,142
"Table Mountain, Cape of Good Hope , Penguins , Bo Kaap and Seals",5.0,1.0,Table Mountain and Cableway,Middle_East_Africa,142
Robben Island Tour including Pick Up & Drop Off from Cape Town,4.3,238.0,Robben Island,Middle_East_Africa,239
Robben Island Ferry Ticket and Guided Prison Tour,3.1,157.0,Robben Island,Middle_East_Africa,239
"""Half-Day Robben Island Tour with Customizable Options Included",4.8,29.0,Robben Island,Middle_East_Africa,239
"Robben Island Tour; Pickup, Drop-off; Guided Tour Historic Prison",4.7,19.0,Robben Island,Middle_East_Africa,239
Robben Island Experience: Pre-Booked Ticket & Return Transfers,4.2,119.0,Robben Island,Middle_East_Africa,239
Robben Island Half Day Tour with Pre-Booked Ticket from Cape Town,4.3,25.0,Robben Island,Middle_East_Africa,239
Robben Island Half Day Tour with Pre-Booked Entry Tickets.,3.9,282.0,Robben Island,Middle_East_Africa,239
Robben Island with Tickets & Iconic Table Mountain Full Day Tour,4.1,21.0,Robben Island,Middle_East_Africa,239
Half Day Tour to Robben Island with Pre-Booked Ticket,4.3,27.0,Robben Island,Middle_East_Africa,239
Robben Island Prison Museum Table Mountain Bo-Kaap All Tickets Included Full Day,5.0,5.0,Robben Island,Middle_East_Africa,239
Cape Town Quad Biking Atlantis Sand Dunes,4.3,110.0,Table Mountain National Park,Middle_East_Africa,242
"Table Mountain, Penguins & Cape Point Small Group Tour from Cape Town",4.7,1701.0,Table Mountain National Park,Middle_East_Africa,242
